"id","category","severity","status","account","current_host_or_origin","route","page_or_surface","observed_problem","governing_requirement","expected_behavior","actual_behavior","evidence_paths","source_paths","root_cause_status","root_cause","affected_accounts","security_or_business_impact","future_owner_phase","entry_condition","future_acceptance_test","external_dependency","notes"
"UI01-PROV-001","served-build","critical","open","all","http://localhost:8099 (production nginx image)","/spa/","SPA application shell","The deployed application serves an empty page: the SPA shell loads and sets the document title, but mounts no markup because every JavaScript and CSS chunk it requests returns 404.","UI/UX plan §6 frontend architecture; ADR-025 (a page is not implemented without browser proof)","The production image serves a working Servana SPA whose entry chunk and stylesheet load successfully.","GET /spa/ returns 200 with title 'Servana by Citrus' and #app innerHTML length 0. GET /assets/index-BF8ocT4d.js returns 404 with a 6659-byte Laravel HTML error body. The browser refuses to apply the stylesheet because its MIME type is text/html.","docs/proof/ui-01/network/browser-evidence.json (served_origin_observations); docs/proof/ui-01/network/environment-capture.json (http_probes); docs/proof/ui-01/screenshots/served_origin--served-spa-shell--spa--1280x900--default--d3f6e10.png; docs/frontend/audits/ui-01/served-build-provenance.json","vite.config.ts (base '/'); docker/nginx/default.conf (location /spa/ alias); public/spa/index.html","proven","Vite is configured with base '/' so the emitted index.html references /assets/*. Nginx mounts the bundle at /spa/ via an alias, so /assets/index-*.js resolves against the Laravel public root and falls through to the PHP front controller. The same files are served correctly at /spa/assets/*.","all eight accounts","No user can use the deployed application. No data is exposed; the failure is total unavailability of the frontend.","UI-02","UI-02 begins the eight-host serving foundation","A browser test against the built production image asserts the SPA entry chunk and stylesheet return 200 and that #app renders a non-empty landmark.","none","First actor is UI-02 because it owns nginx and URL generation. UI-17 must re-verify at deployment closeout."
"UI01-PROV-002","served-build","critical","open","all","http://localhost:8099 (production nginx image)","/","Application root","The deployed application root returns the stock Laravel welcome page rather than any Servana surface.","UI/UX plan §4 hosts and §6 landing structure; docs/brand/Servana Brand Identity.md","The root of each account host serves that account's Servana landing page.","GET / returns 200 with document title 'Laravel' and the unmodified Laravel scaffold markup, including a fonts.bunny.net Figtree stylesheet reference. No Servana branding is present.","docs/proof/ui-01/network/browser-evidence.json (served_origin_observations); docs/proof/ui-01/screenshots/served_origin--served-root--root--1280x900--default--d3f6e10.png","routes/web.php; resources/views/welcome.blade.php","proven","routes/web.php maps GET / to view('welcome') and resources/views/welcome.blade.php is the unmodified Laravel scaffold view. No landing route was ever implemented.","all eight accounts","A visitor to the product sees a framework placeholder page. No data is exposed.","UI-02","UI-02 begins the eight-host serving foundation","A browser test asserts the root of each configured account host returns that account's landing page and never the Laravel scaffold view.","none","UI-06 owns the landing-page content once UI-02 makes the hosts serve it."
"UI01-PROV-003","evidence-integrity","high","open","all","http://localhost:4173 (vite preview)","all","Whole browser test surface","No browser evidence in this repository has ever exercised the origin the product deploys to. The entire Playwright suite runs against a vite preview server that serves the SPA bundle as the web root with a fully stubbed API.","UI/UX plan §21 testing and §23 browser evidence; ADR-025","At least one browser suite exercises the real served origin so a serving defect cannot pass CI.","playwright.config.ts sets baseURL http://localhost:4173 with webServer 'npm run build && npm run preview'. Every existing spec inherits it. UI01-PROV-001 and UI01-PROV-002 were invisible to 846 passing Playwright tests.","docs/proof/ui-01/network/browser-evidence.json (base_url_kind); docs/frontend/audits/ui-01/served-build-provenance.json","playwright.config.ts; tests/e2e/support/releaseAudit.ts","proven","The preview server serves public/spa at / so the base-path mismatch that breaks the deployed bundle cannot occur there. The API is stubbed, so no real role resolution is exercised either.","all eight accounts","A whole class of serving and deployment defects can reach production with a green CI pipeline.","UI-16","UI-16 defines the release-wide browser evidence gate","The release browser gate runs at least the shell and entry-asset checks against the built production image origin as well as the preview origin.","none","UI-17 must confirm at deployment closeout. UI-01 added tests/e2e/ui-01-as-built-audit.spec.ts, which probes the served origin, but only as audit evidence."
"UI01-PROV-004","build-provenance","observation","open","all","local build host","n/a","Toolchain","The local build host runs Node 24.15.0 while package.json engines declares >=20.0.0 <21, and the production image builds on node:20-alpine.","Plan §7 pinned stack (A-09 / ADR-001)","The declared engine range matches the toolchain that produces release artifacts.","npm ci and npm run build completed on Node 24.15.0 with no engine error. The resulting Vite manifest SHA-256 43a1608ab0945da6c50d122f892afe6e49bd343317c5f976ffb5d0b2851b3f81 is byte-identical to the manifest inside the production nginx image built on node:20-alpine.","docs/proof/ui-01/network/environment-capture.json (toolchain; linux_image_case_probes); docs/frontend/audits/ui-01/served-build-provenance.json","package.json","proven","npm does not enforce the engines field by default, so an out-of-range Node version builds silently.","all eight accounts","None observed. Byte-identical output across both Node majors was proven for this commit; recorded so a future divergence is not mistaken for a code change.","UI-17","UI-17 performs production build and deployment closeout","The release build pipeline fails when the build host Node major version is outside the declared engines range.","none","Not currently a product defect. Recorded because provenance claims depend on it."
"UI01-PROV-005","build-provenance","medium","open","all","local build host","n/a","Build output directory","An interrupted concurrent build leaves public/spa in a silently broken state and nothing detects it.","UI/UX plan §23 build provenance","A partially written bundle is detectable before it is served or tested.","During this audit an aborted concurrent 'npm run build' left public/spa holding index.html from one build; 251 of 259 asset files from another; and no .vite/manifest.json. The shell still served with HTTP 200 while its entry chunk 404ed. 158 route visits reported blank before the cause was found.","docs/proof/ui-01.md (Audit-harness and evidence-integrity incidents)","vite.config.ts (build.emptyOutDir); playwright.config.ts (webServer)","proven","vite build empties outDir before writing, so a process killed mid-write leaves the directory partially populated. Neither the preview server nor the nginx image validates that every asset referenced by index.html exists.","all eight accounts","A broken bundle can be built, imaged and served without any stage failing.","UI-17","UI-17 performs production build and deployment closeout","The build pipeline asserts every /assets URL referenced by the emitted index.html exists in the emitted bundle and that .vite/manifest.json is present.","none","The incident trigger was environmental (a timed-out Playwright webServer left an orphaned build). The missing integrity guard is the product-side defect."
"UI01-ROLE-001","role-resolution","high","open","super_administrator","http://localhost:4173 (vite preview)","/platform","Super Administrator experience","Every merchant-side account can navigate to the Super Administrator surface and it renders in full.","ADR-017 (hostnames are never authorization); UI/UX plan §4 and §18; Plan §10.2 authority boundaries","A merchant-side account requesting a Super Administrator route is refused or redirected to its own account experience.","All seven merchant-side accounts requested /platform and the router rendered the Super Administrator landing (landmark: 'Run your service-business platform with clarity and control.'). In the opposite direction super_administrator requesting /merchant is correctly redirected to /.","docs/proof/ui-01/network/browser-evidence.json (boundary_observations); docs/frontend/audits/ui-01/route-component-page-audit.json","resources/spa/src/router/routes/platform.ts:8; resources/spa/src/router/guards.ts (requiresRole)","proven","The /platform layout record declares beforeEnter [requiresAuth] only. A requiresRole guard exists in router/guards.ts but is never applied to the platform route tree. Merchant-side trees additionally carry requiresActiveMerchant, which is why the reverse direction is refused.","merchant_administrator; merchant_branch; merchant_human_resource; merchant_finance; merchant_front_office; merchant_personnel; merchant_audit","UX-level cross-role surface exposure. Backend authorization remains the security boundary and was neither weakened nor tested here; the platform API enforces ResolvePlatformContext and EnsurePermission independently. The rendered surface still discloses the Super Administrator information architecture and navigation to every merchant role.","UI-03","UI-03 owns authentication, session and account resolution","A browser test asserts each of the seven merchant-side accounts requesting a /platform route is refused or redirected and never renders the Super Administrator shell.","none","UI-08 must re-verify when it implements the Super Administrator pages. Backend enforcement is proven separately by the authorization suites and is outside UI-01 scope."
"UI01-ROUTE-001","routing","high","open","all","http://localhost:4173 (vite preview)","*","Router catch-all","Any unknown path renders the Home entry card with HTTP 200 and no not-found signalling, so a missing page is indistinguishable from a working one.","ADR-025; UI/UX plan §7 navigation and screen contract","An unrouted path renders an explicit not-found surface that both a user and a test can recognise.","The catch-all route ':pathMatch(.*)*' is named not-found but renders @/pages/Home.vue, the same component as the / route. /no-such-page-01hzz rendered the Home entry card. 118 of the 160 required contract paths have no route and would silently produce this page.","docs/proof/ui-01/network/browser-evidence.json (route_visits); docs/frontend/audits/ui-01/route-component-page-audit.json (required_pages)","resources/spa/src/router/index.ts:44-48; resources/spa/src/pages/Home.vue","proven","The catch-all route is deliberately mapped to Home.vue, and the screen inventory records the same component for both the home and not-found keys.","all eight accounts","Missing pages read as successes. Any coverage claim derived from browser navigation alone is unreliable until this is separated.","UI-07","UI-07 builds the full 160-page runtime route and screen contract","A browser test asserts an unrouted path renders a distinct not-found surface, and that the home and not-found routes do not resolve to the same component.","none","This defect is why UI-01 classifies page claims from the router and component graph rather than from navigation success alone."
"UI01-ROUTE-002","page-claim","medium","open","multiple","http://localhost:4173 (vite preview)","platform.dashboard; audit.dashboard; front-office.dashboard; personnel.dashboard","Account dashboards","Four screens recorded as implemented render a named placeholder component rather than a substantive dashboard.","UI/UX plan §7 screen contract; ADR-025","A screen recorded as implemented renders its own substantive content.","Routes platform.dashboard, audit.dashboard, front-office.dashboard and personnel.dashboard each resolve to a DashboardStub.vue component while the screen inventory records status 'implemented' for all four.","docs/frontend/audits/ui-01/route-component-page-audit.json (implementation_claims; classification false)","resources/spa/src/pages/platform/DashboardStub.vue; resources/spa/src/pages/audit/DashboardStub.vue; resources/spa/src/pages/front-office/DashboardStub.vue; resources/spa/src/pages/personnel/DashboardStub.vue; docs/frontend/screens/inventory.json","proven","The stub components were introduced as routing placeholders and the inventory status was never revised when the real dashboards were deferred.","super_administrator; merchant_front_office; merchant_personnel; merchant_audit","The 'implemented' count in the screen inventory overstates delivered functionality by four screens.","UI-08","UI-08 is the first account phase to implement its dashboard","Each account phase asserts its dashboard route renders that account's own content and that no route in the account tree resolves to a component named *Stub.vue.","none","UI-13, UI-14 and UI-15 own the front-office, personnel and audit dashboards respectively. UI-01 did not change the inventory status."
"UI01-ROUTE-003","contract-coverage","medium","open","all","http://localhost:4173 (vite preview)","118 contract paths","Required page contract","118 of the 160 required pages have no route registered at the contract path.","UI/UX plan Appendix A and §30 register; docs/frontend/navigation/servana-user-account-navigation-maps.md","Every one of the 160 required pages is reachable at its contract path on its account host.","Routes registered at contract paths, per account: Super Administrator 2/22; Merchant Administrator 4/23; Branch 3/18; Human Resource 5/19; Finance 10/24; Front Office 9/19; Personnel 3/20; Audit 6/15. Total 42 of 160.","docs/frontend/audits/ui-01/route-component-page-audit.json (required_pages; per_account)","resources/spa/src/router/routes/; docs/frontend/source-inventory/navigation-map.json","proven","The current router implements an earlier, shallower information architecture. Several contract pages are approximated today by a single consolidated screen at a different path, so this count measures route-shape conformance and not capability absence.","all eight accounts","The delivered navigation does not match the binding contract. Users cannot reach most contract pages by their contract paths.","UI-07","UI-07 builds the full 160-page runtime route and screen contract","The runtime navigation contract test asserts a registered route for all 160 contract paths and fails on any gap.","none","'not_claimed' in the artifact means no route at the contract path, never that the capability is missing. See docs/frontend/audits/ui-01/README.md section 4."
"UI01-ROUTE-004","metadata","low","open","all","n/a","n/a","Role entry documentation","Source documentation points at a router file that does not exist.","UI/UX plan §7 navigation and screen contract","In-source references name files that exist.","resources/spa/src/types/roles.ts states the landing and get-started route names are real routes registered in router/routes/roleEntry.ts. No such file exists; the routes are registered in the per-account route modules.","docs/frontend/audits/ui-01/route-component-page-audit.json (routes; source_file)","resources/spa/src/types/roles.ts","proven","The route modules were reorganised per account and the comment was not updated.","all eight accounts","Misleading to a maintainer. No runtime effect.","UI-07","UI-07 owns the runtime route contract","No acceptance test required beyond the comment naming a file that exists.","none","Documentation-only. UI-01 did not edit runtime source."
